origen,destino,distancia_km,tiempo_min,costo_sol,tipo_via,congestion
0,100,0.1742,4.62,1.98,carretera,baja
0,1435,0.2463,4.33,0.75,avenida,baja
0,1392,0.3845,2.28,1.87,jirón,media
0,964,0.4293,2.36,1.06,avenida,media
0,1445,0.541,4.85,2.14,avenida,baja
0,1148,0.6159,5.33,2.16,avenida,baja
1,786,0.3675,2.17,2.0,avenida,media
1,1430,0.5285,2.53,1.33,avenida,media
1,189,0.5429,4.76,2.09,avenida,alta
1,29,0.6465,3.11,2.4,jirón,alta
1,3,0.955,4.32,1.45,carretera,alta
1,1342,1.1212,4.63,1.69,jirón,alta
2,1412,0.5414,4.36,1.11,avenida,alta
2,182,1.1012,4.07,1.72,carretera,baja
2,1037,1.3148,7.24,2.42,avenida,baja
2,1359,1.3221,7.33,2.9,vía_expresa,media
2,267,1.66,7.11,2.19,avenida,baja
2,586,1.7523,7.84,3.46,vía_expresa,baja
3,400,0.2798,3.62,1.35,carretera,baja
3,29,0.482,3.83,1.69,vía_expresa,media
3,1108,0.8289,5.48,2.04,avenida,baja
3,369,0.8616,4.04,1.41,carretera,media
3,171,0.8885,5.18,1.72,vía_expresa,baja
3,1,0.955,5.13,1.75,vía_expresa,baja
4,370,0.1133,4.65,1.94,vía_expresa,alta
4,1115,0.7194,3.91,1.13,vía_expresa,alta
4,340,0.8813,3.18,1.91,avenida,baja
4,581,1.0453,3.66,1.99,avenida,alta
4,1042,1.138,6.98,2.93,avenida,media
4,769,1.3116,7.52,2.12,vía_expresa,baja
5,106,0.3297,2.59,1.42,vía_expresa,media
5,202,0.3504,4.76,1.95,carretera,alta
5,1060,0.4138,5.6,1.39,vía_expresa,media
5,866,0.5835,4.21,1.22,vía_expresa,baja
5,346,0.659,2.81,1.79,jirón,alta
5,1196,0.6676,6.1,1.11,avenida,baja
6,1017,0.3097,3.61,0.8,jirón,media
6,802,0.5469,4.51,1.46,carretera,alta
6,501,0.6988,4.89,2.23,vía_expresa,media
6,1493,1.0657,3.94,2.4,vía_expresa,alta
6,1211,1.1636,4.37,2.0,avenida,baja
6,689,1.184,7.33,2.83,avenida,media
7,1153,0.1974,3.2,1.95,vía_expresa,media
7,1285,0.4868,2.12,1.18,carretera,alta
7,630,0.6352,2.93,1.69,carretera,alta
7,1419,1.0418,4.64,2.53,vía_expresa,alta
7,179,1.0491,5.31,2.2,vía_expresa,media
7,1101,1.0832,5.42,1.66,avenida,media
8,857,0.1895,2.43,1.55,vía_expresa,alta
8,886,0.1973,4.1,1.82,carretera,media
8,605,0.3135,1.87,1.65,jirón,media
8,1071,0.3503,3.1,1.91,avenida,alta
8,896,0.367,3.1,0.96,carretera,media
8,631,0.3709,3.39,0.9,jirón,baja
9,385,0.2473,2.43,1.18,avenida,alta
9,324,0.2484,1.76,1.17,carretera,baja
9,1031,0.3684,1.82,1.3,vía_expresa,alta
9,1406,0.5556,5.56,1.82,vía_expresa,media
9,558,0.5842,2.25,1.7,avenida,media
9,1027,0.6051,3.72,1.6,avenida,media
10,68,0.8778,3.16,2.26,carretera,media
10,1223,0.9536,4.92,2.46,carretera,baja
10,1206,1.0476,5.55,1.94,vía_expresa,baja
10,1199,1.1389,5.27,2.74,avenida,alta
10,1488,1.2836,4.42,1.99,carretera,alta
10,1262,1.6058,5.82,2.2,avenida,alta
11,911,0.1341,4.64,0.76,carretera,media
11,1496,0.3654,2.0,2.01,vía_expresa,media
11,73,0.6208,3.08,2.22,carretera,alta
11,1374,0.6243,5.47,1.68,carretera,baja
11,210,0.7076,4.07,1.48,vía_expresa,alta
11,314,0.8295,5.71,1.48,avenida,alta
12,223,0.4259,4.67,2.16,vía_expresa,baja
12,727,0.6202,4.88,2.26,vía_expresa,media
12,104,0.8567,6.46,2.03,vía_expresa,alta
12,363,1.0998,6.11,1.52,jirón,media
12,704,1.1933,5.24,1.87,carretera,media
12,1128,1.2525,5.15,2.85,avenida,alta
13,822,0.514,2.84,1.56,carretera,alta
13,1067,0.5245,2.69,1.98,jirón,media
13,433,0.6633,3.28,1.29,avenida,baja
13,1475,0.6771,5.54,1.54,vía_expresa,alta
13,374,0.6921,6.35,1.72,avenida,baja
13,1495,0.7225,3.08,1.32,carretera,media
14,1022,0.3211,4.28,1.04,avenida,alta
14,282,0.5538,4.05,1.0,avenida,media
14,933,1.0733,5.55,2.71,vía_expresa,media
14,78,1.3532,6.39,2.98,vía_expresa,alta
14,1432,1.7898,7.95,2.38,avenida,alta
14,467,1.8568,7.37,2.95,carretera,media
15,1397,0.2912,5.12,1.1,avenida,media
15,1373,0.3069,2.93,1.64,vía_expresa,alta
15,228,0.4555,4.89,2.29,jirón,baja
15,130,0.5201,2.47,1.26,carretera,media
15,1354,0.6548,3.94,2.35,avenida,media
15,1320,0.6613,4.46,2.11,avenida,media
16,211,0.4298,4.04,1.58,jirón,media
16,1050,0.5786,5.67,2.4,carretera,media
16,1338,0.666,5.19,2.3,avenida,alta
16,774,0.7573,6.38,2.05,avenida,alta
16,1129,0.7949,6.26,2.18,carretera,alta
16,564,0.8493,4.24,2.18,carretera,alta
17,169,0.2694,2.03,2.03,vía_expresa,media
17,617,0.4815,1.99,2.35,carretera,media
17,1277,0.6564,2.67,2.29,jirón,media
17,544,0.9943,3.83,2.68,vía_expresa,alta
17,975,1.009,4.29,2.58,vía_expresa,baja
17,259,1.2285,4.55,1.66,vía_expresa,media
18,1409,0.0991,4.15,1.97,carretera,alta
18,151,0.1501,2.99,2.01,avenida,baja
18,418,0.4094,4.61,1.61,carretera,media
18,157,0.497,4.4,2.14,carretera,media
18,1031,0.6191,5.02,2.17,jirón,alta
18,1027,0.6257,4.03,1.99,avenida,media
19,532,0.4727,2.75,1.36,avenida,baja
19,1058,1.0338,3.7,2.15,jirón,alta
19,296,1.2021,6.15,2.71,carretera,media
19,564,1.2538,5.42,2.67,carretera,baja
19,21,1.5619,6.87,3.07,carretera,baja
