nodo_id,nombre,distrito,tipo,latitud,longitud,demanda_paquetes,ventana_inicio,ventana_fin,prioridad
0,Cliente Final 0,Breña,cliente_final,-12.068173,-77.031064,2,8,18,2
1,Punto Reparto 1,Villa María,punto_reparto,-12.158467,-76.958299,9,8,14,5
2,Hub Distribución 2,Lurín,hub_distribución,-12.300096,-76.851691,34,8,14,2
3,Cliente Final 3,Villa María,cliente_final,-12.152996,-76.965071,9,8,16,5
4,Punto Reparto 4,Lurín,punto_reparto,-12.261378,-76.884383,12,11,18,1
5,Punto Reparto 5,Los Olivos,punto_reparto,-12.00583,-77.079788,30,9,20,3
6,Hub Distribución 6,Ate,hub_distribución,-12.033403,-76.920439,49,9,18,1
7,Punto Reparto 7,Barranco,punto_reparto,-12.163325,-77.032093,17,8,18,3
8,Punto Reparto 8,Pueblo Libre,punto_reparto,-12.076897,-77.047441,13,8,20,5
9,Punto Reparto 9,Surco,punto_reparto,-12.146288,-76.995079,17,8,18,5
10,Punto Reparto 10,Puente Piedra,punto_reparto,-11.864623,-77.096474,16,9,14,1
11,Cliente Final 11,Lima Cercado,cliente_final,-12.022856,-77.007818,4,10,14,2
12,Cliente Final 12,Carabayllo,cliente_final,-11.889769,-77.050116,2,11,18,4
13,Punto Reparto 13,Breña,punto_reparto,-12.064892,-77.072498,16,9,18,3
14,Punto Reparto 14,Chorrillos,punto_reparto,-12.193281,-77.002034,26,10,14,5
15,Punto Reparto 15,Breña,punto_reparto,-12.053774,-77.063014,10,9,16,4
16,Cliente Final 16,Villa El Salvador,cliente_final,-12.207664,-76.955757,5,9,18,1
17,Cliente Final 17,Villa María,cliente_final,-12.149643,-76.919125,1,10,20,3
18,Punto Reparto 18,Barranco,punto_reparto,-12.140405,-77.000606,11,10,16,4
19,Punto Reparto 19,Villa El Salvador,punto_reparto,-12.225201,-76.962739,25,11,16,3
20,Cliente Final 20,La Molina,cliente_final,-12.089066,-76.956033,4,10,20,5
21,Punto Reparto 21,Villa El Salvador,punto_reparto,-12.217162,-76.950953,16,9,16,5
22,Punto Reparto 22,Lince,punto_reparto,-12.102954,-77.02159,7,8,14,2
23,Punto Reparto 23,Breña,punto_reparto,-12.037556,-77.039988,10,11,14,4
24,Cliente Final 24,Villa El Salvador,cliente_final,-12.234724,-76.924227,10,11,18,5
25,Punto Reparto 25,Carabayllo,punto_reparto,-11.86855,-77.016436,5,8,18,3
26,Cliente Final 26,Surco,cliente_final,-12.154077,-77.018907,5,11,16,4
27,Punto Reparto 27,Miraflores,punto_reparto,-12.112935,-77.036655,28,10,16,5
28,Cliente Final 28,Callao,cliente_final,-12.065451,-77.126741,2,10,16,2
