paso,nodo_id,rol,nombre,tipo,distrito,via_hacia_siguiente,tiempo_min,distancia_km,costo_sol
1,618,ORIGEN (Restaurante),Mediterraneo (Villa El Salvador),restaurante,Villa El Salvador,—,3.33,1.3376,3.01
2,170,Hub Rappi,Hub Rappi Villa El Salvador,hub_rappi,Villa El Salvador,—,3.85,1.0233,1.57
3,699,Parada intermedia,Osaka (Villa El Salvador),restaurante,Villa El Salvador,—,4.46,1.8463,3.32
4,847,Parada intermedia,Intersec. Av. La Marina (San Juan Lurig),interseccion,San Juan Lurig,—,2.83,0.8947,1.61
5,1276,Parada intermedia,Intersec. Via Expresa (San Juan Lurig),interseccion,San Juan Lurig,—,3.73,1.4132,3.02
6,382,Parada intermedia,Intersec. Av. El Derby (San Juan Lurig),interseccion,San Juan Lurig,—,2.5,0.5733,1.17
7,709,Parada intermedia,Cliente #709 (Villa Maria),cliente,Villa Maria,—,3.7,0.8284,1.3
8,1066,Parada intermedia,Intersec. Av. Universitaria (San Juan Lurig),interseccion,San Juan Lurig,—,3.08,0.7583,1.95
9,418,Parada intermedia,Cliente #418 (San Juan Lurig),cliente,San Juan Lurig,—,1.82,0.3587,1.3
10,581,Parada intermedia,Cliente #581 (San Juan Lurig),cliente,San Juan Lurig,—,2.99,0.8295,1.91
11,1072,Parada intermedia,Cliente #1072 (Surco),cliente,Surco,—,2.7,0.5794,1.4
12,595,Parada intermedia,Cliente #595 (San Juan Lurig),cliente,San Juan Lurig,—,2.64,0.5581,1.1
13,1396,Parada intermedia,Intersec. Av. Larco (San Juan Lurig),interseccion,San Juan Lurig,—,2.9,0.7229,1.98
14,888,Parada intermedia,Intersec. Av. Petit Thouars (Surco),interseccion,Surco,—,2.31,0.4682,1.72
15,38,Parada intermedia,Cliente #38 (Barranco),cliente,Barranco,—,2.56,0.5614,1.32
16,494,Parada intermedia,Intersec. Av. 28 de Julio (Surco),interseccion,Surco,—,1.61,0.2246,0.88
17,480,Parada intermedia,Intersec. Av. Salaverry (Surco),interseccion,Surco,—,3.03,0.6791,2.24
18,1174,Parada intermedia,Cliente #1174 (San Borja),cliente,San Borja,—,4.15,0.6101,1.41
19,1302,Parada intermedia,Intersec. Av. Santa Cruz (Barranco),interseccion,Barranco,—,3.56,0.4309,1.93
20,1064,Parada intermedia,Intersec. Av. Arequipa (Miraflores),interseccion,Miraflores,—,4.24,0.5242,1.18
21,1468,Parada intermedia,Intersec. Av. Tomas Marsano (San Isidro),interseccion,San Isidro,—,4.08,0.4899,1.05
22,1484,Parada intermedia,Sushi Ito (San Borja),restaurante,San Borja,—,3.18,0.6935,1.84
23,92,Parada intermedia,Intersec. Av. Arequipa (San Isidro),interseccion,San Isidro,—,4.45,0.6316,1.43
24,276,Parada intermedia,Intersec. Av. Aviacion (Lince),interseccion,Lince,—,1.64,0.3131,0.75
25,1135,Parada intermedia,Cliente #1135 (Miraflores),cliente,Miraflores,—,2.49,0.2311,1.76
26,629,Parada intermedia,Cliente #629 (Lince),cliente,Lince,—,1.89,0.4199,1.52
27,594,Parada intermedia,Intersec. Av. 28 de Julio (San Borja),interseccion,San Borja,—,4.25,0.7374,1.73
28,1489,Parada intermedia,Cliente #1489 (San Borja),cliente,San Borja,—,3.56,0.5793,1.57
29,1145,Parada intermedia,Intersec. Av. Universitaria (San Borja),interseccion,San Borja,—,2.59,0.3785,0.94
30,313,Parada intermedia,Intersec. Av. Brasil (Lince),interseccion,Lince,—,3.8,0.7667,1.53
31,979,Parada intermedia,Intersec. Av. El Derby (San Isidro),interseccion,San Isidro,—,5.66,0.7739,1.67
32,930,Parada intermedia,Cliente #930 (Lince),cliente,Lince,—,3.51,0.7477,1.73
33,316,Parada intermedia,Cliente #316 (Lima Cercado),cliente,Lima Cercado,—,2.33,0.5658,1.79
34,527,Parada intermedia,Intersec. Av. La Marina (Lima Cercado),interseccion,Lima Cercado,—,2.29,0.5108,1.43
35,312,Parada intermedia,Intersec. Av. Caminos del Inca (Lima Cercado),interseccion,Lima Cercado,—,1.68,0.3997,1.28
36,1268,Parada intermedia,Cliente #1268 (Lima Cercado),cliente,Lima Cercado,—,2.89,0.369,1.83
37,973,Parada intermedia,Intersec. Av. La Encalada (El Agustino),interseccion,El Agustino,—,2.09,0.3111,0.75
38,980,Parada intermedia,Intersec. Av. Arequipa (El Agustino),interseccion,El Agustino,—,2.67,0.5188,1.4
39,969,Parada intermedia,Cliente #969 (Lima Cercado),cliente,Lima Cercado,—,2.84,0.67,1.77
40,644,DESTINO (Cliente),Cliente #644 (Brena),cliente,Brena,—,—,—,—
